# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.650849077337e-10       7.645753383538e-15       2.346758797298e-13       0.000000000000e+00       8.372845238113e-11       8.984429266312e-12      -8.308585433267e-15 
   41       1.675693514617e-10       8.305978892121e-15       2.252541487469e-13       0.000000000000e+00       7.957592071497e-11       8.586945631690e-12      -7.441096199280e-15 
   42       1.700682840459e-10       9.001891117648e-15       2.142967218244e-13       0.000000000000e+00       7.569262688394e-11       8.209318922643e-12      -6.733106752064e-15 
   43       1.725890854570e-10       9.734053582016e-15       2.018340606773e-13       0.000000000000e+00       7.206824222081e-11       7.852989648901e-12      -6.245196738947e-15 
   44       1.751367524553e-10       1.050296949154e-14       1.879111830259e-13       0.000000000000e+00       6.867637356920e-11       7.518391161439e-12      -6.044575723976e-15 
   45       1.777140661669e-10       1.130909864587e-14       1.725667145232e-13       0.000000000000e+00       6.548398402976e-11       7.205113988186e-12      -6.178741549105e-15 
   46       1.803228077996e-10       1.215292157956e-14       1.557608634492e-13       0.000000000000e+00       6.248602695851e-11       6.912673443323e-12      -6.586446301738e-15 
   47       1.829624348348e-10       1.303488926428e-14       1.374271498002e-13       0.000000000000e+00       5.967899108861e-11       6.639815572453e-12      -7.160558906246e-15 
   48       1.856294227321e-10       1.395540280124e-14       1.174917030584e-13       0.000000000000e+00       5.705045472281e-11       6.384206144326e-12      -7.771121388424e-15 
   49       1.883170133355e-10       1.491481144100e-14       9.587274082195e-14       0.000000000000e+00       5.457842324699e-11       6.142353726594e-12      -8.264079051198e-15 
   50       1.910181374966e-10       1.591338906949e-14       7.249480812849e-14       0.000000000000e+00       5.223794915266e-11       5.910612806705e-12      -8.504405192295e-15 
   51       1.937357018770e-10       1.695126073580e-14       4.733726158593e-14       0.000000000000e+00       5.002464748023e-11       5.688692617553e-12      -8.522221159256e-15 
   52       1.964746594876e-10       1.802845275822e-14       2.039804449121e-14       0.000000000000e+00       4.793641822854e-11       5.476967774604e-12      -8.404143962471e-15 
   53       1.992389797225e-10       1.914490959240e-14      -8.319754487229e-15       0.000000000000e+00       4.596640953110e-11       5.275455994477e-12      -8.253158169450e-15 
   54       2.020315461407e-10       2.030049083768e-14      -3.880772805836e-14       0.000000000000e+00       4.410269787596e-11       5.083791996345e-12      -8.189435235444e-15 
   55       2.048542854480e-10       2.149503726951e-14      -7.105842429439e-14       0.000000000000e+00       4.233192324053e-11       4.901426322103e-12      -8.319521442939e-15 
   56       2.077088261402e-10       2.272859500385e-14      -1.050863906502e-13       0.000000000000e+00       4.065198457731e-11       4.728339424965e-12      -8.633061199678e-15 
   57       2.105958244372e-10       2.400124177653e-14      -1.409120542674e-13       0.000000000000e+00       3.906193803932e-11       4.564459262058e-12      -9.081852712644e-15 
   58       2.135146562358e-10       2.531302249859e-14      -1.785558090073e-13       0.000000000000e+00       3.755815629828e-11       4.409434959713e-12      -9.608827472733e-15 
   59       2.164633238996e-10       2.666394895208e-14      -2.180380933916e-13       0.000000000000e+00       3.613416285204e-11       4.262619477927e-12      -1.014763719351e-14 
   60       2.194383630474e-10       2.805399948577e-14      -2.593794685418e-13       0.000000000000e+00       3.478046633205e-11       4.123052274842e-12      -1.062224074998e-14 
   61       2.224362824103e-10       2.948302133034e-14      -3.025938731133e-13       0.000000000000e+00       3.348719428920e-11       3.989725126980e-12      -1.096409900551e-14 
   62       2.254584719384e-10       3.095041261008e-14      -3.476664425765e-13       0.000000000000e+00       3.225306022604e-11       3.862488531379e-12      -1.116920387763e-14 
   63       2.285072359806e-10       3.245536809054e-14      -3.945708268831e-13       0.000000000000e+00       3.107812444675e-11       3.741318918846e-12      -1.125317532981e-14 
   64       2.315843137473e-10       3.399696693389e-14      -4.432754383375e-13       0.000000000000e+00       2.996109684259e-11       3.626045265357e-12      -1.123492578837e-14 
   65       2.346908347420e-10       3.557416930484e-14      -4.937433130482e-13       0.000000000000e+00       2.889926002465e-11       3.516340740844e-12      -1.113680576624e-14 
   66       2.378272741946e-10       3.718581297659e-14      -5.459319723783e-13       0.000000000000e+00       2.788839245660e-11       3.411714357989e-12      -1.098474948667e-14 
   67       2.409934084932e-10       3.883060993671e-14      -5.997932843975e-13       0.000000000000e+00       2.692269158751e-11       3.311502621008e-12      -1.080842050697e-14 
   68       2.441888293217e-10       4.050728192426e-14      -6.552815417531e-13       0.000000000000e+00       2.599632239396e-11       3.215046927496e-12      -1.063505839823e-14 
   69       2.474147066674e-10       4.221500651877e-14      -7.123799056576e-13       0.000000000000e+00       2.510859919036e-11       3.122286182973e-12      -1.046924543238e-14 
   70       2.506723046233e-10       4.395305575865e-14      -7.710790958732e-13       0.000000000000e+00       2.425972052642e-11       3.033269814886e-12      -1.030928286101e-14 
   71       2.539624245554e-10       4.572066536399e-14      -8.313697186932e-13       0.000000000000e+00       2.344920201495e-11       2.947979108187e-12      -1.015311191363e-14 
   72       2.572853748238e-10       4.751703489564e-14      -8.932423385315e-13       0.000000000000e+00       2.267584103513e-11       2.866323604833e-12      -9.998298323119e-15 
   73       2.606409405042e-10       4.934132791445e-14      -9.566875495126e-13       0.000000000000e+00       2.193768143588e-11       2.788137503298e-12      -9.842016851116e-15 
   74       2.640283531100e-10       5.119267214035e-14      -1.021696047061e-12       0.000000000000e+00       2.123197823921e-11       2.713176058076e-12      -9.681035813456e-15 
   75       2.674462603130e-10       5.307015961152e-14      -1.088258699493e-12       0.000000000000e+00       2.055516234354e-11       2.641111979191e-12      -9.511701605598e-15 
   76       2.708933384826e-10       5.497277939087e-14      -1.156360967876e-12       0.000000000000e+00       1.990372580832e-11       2.571619538909e-12      -9.331286976468e-15 
   77       2.743703261879e-10       5.689920116642e-14      -1.225964832607e-12       0.000000000000e+00       1.927714210766e-11       2.504652557539e-12      -9.142353904098e-15 
   78       2.778783082270e-10       5.884795229517e-14      -1.297023685813e-12       0.000000000000e+00       1.867541674623e-11       2.440210803831e-12      -8.949161893545e-15 
   79       2.814180888868e-10       6.081748055086e-14      -1.369487647107e-12       0.000000000000e+00       1.809819776639e-11       2.378255012029e-12      -8.756387096648e-15 
   80       2.849901748459e-10       6.280615289989e-14      -1.443303519286e-12       0.000000000000e+00       1.754475932879e-11       2.318705079880e-12      -8.569134802210e-15 
   81       2.885947580775e-10       6.481225427735e-14      -1.518414744029e-12       0.000000000000e+00       1.701398529301e-11       2.261438266655e-12      -8.392951926196e-15 
   82       2.922316987524e-10       6.683398636294e-14      -1.594761357592e-12       0.000000000000e+00       1.650435279810e-11       2.206287391159e-12      -8.233839501916e-15 
   83       2.959005081422e-10       6.886946635700e-14      -1.672279946503e-12       0.000000000000e+00       1.601391584323e-11       2.153039029748e-12      -8.098265170216e-15 
   84       2.996006527098e-10       7.091680513739e-14      -1.750907480373e-12       0.000000000000e+00       1.554077780573e-11       2.101486389631e-12      -7.991463870253e-15 
   85       3.033325617547e-10       7.297435929838e-14      -1.830593637422e-12       0.000000000000e+00       1.508463496494e-11       2.051601947093e-12      -7.911988874405e-15 
   86       3.070967562440e-10       7.504051884455e-14      -1.911290450537e-12       0.000000000000e+00       1.464545994749e-11       2.003390258252e-12      -7.856276130522e-15 
   87       3.108935309508e-10       7.711363163336e-14      -1.992948632382e-12       0.000000000000e+00       1.422302745977e-11       1.956834958330e-12      -7.820259706016e-15 
   88       3.147229427551e-10       7.919200348518e-14      -2.075517596256e-12       0.000000000000e+00       1.381690608597e-11       1.911897878585e-12      -7.799355508318e-15 
   89       3.185847989454e-10       8.127389829349e-14      -2.158945476957e-12       0.000000000000e+00       1.342645008614e-11       1.868518163236e-12      -7.788445005323e-15 
   90       3.224786455191e-10       8.335753813491e-14      -2.243179151629e-12       0.000000000000e+00       1.305079119419e-11       1.826611386387e-12      -7.781858945844e-15 
   91       3.264037554840e-10       8.544110337940e-14      -2.328164260634e-12       0.000000000000e+00       1.268883041599e-11       1.786068668959e-12      -7.773361080064e-15 
   92       3.303591171598e-10       8.752273280028e-14      -2.413845228396e-12       0.000000000000e+00       1.233922982734e-11       1.746755795611e-12      -7.756131879983e-15 
   93       3.343437511196e-10       8.960054531185e-14      -2.500164789890e-12       0.000000000000e+00       1.200072974483e-11       1.708547111917e-12      -7.724283656930e-15 
   94       3.383577409568e-10       9.167270868262e-14      -2.587062443303e-12       0.000000000000e+00       1.167317262016e-11       1.671434965720e-12      -7.677701939324e-15 
   95       3.424013366371e-10       9.373738140820e-14      -2.674475802128e-12       0.000000000000e+00       1.135661869154e-11       1.635435169639e-12      -7.617905527309e-15 
   96       3.464746325794e-10       9.579269240624e-14      -2.762341082698e-12       0.000000000000e+00       1.105103064649e-11       1.600553287225e-12      -7.546584652861e-15 
   97       3.505775604678e-10       9.783674142339e-14      -2.850593118253e-12       0.000000000000e+00       1.075626988623e-11       1.566784227313e-12      -7.465605721478e-15 
