# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.651788752674e-10       7.707608595411e-15       2.344877097870e-13       6.231535056184e-17       8.372845238113e-11       8.984429266312e-12      -8.308585433267e-15 
   41       1.676672707905e-10       8.370892912292e-15       2.250520994951e-13       6.547560872337e-17       7.957592071497e-11       8.586945631690e-12      -7.441096199280e-15 
   42       1.701701985913e-10       9.069930483846e-15       2.140804133714e-13       6.871420822153e-17       7.569262688394e-11       8.209318922643e-12      -6.733106752064e-15 
   43       1.726950357175e-10       9.805284320486e-15       2.016031617006e-13       7.203117161832e-17       7.206824222081e-11       7.852989648901e-12      -6.245196738947e-15 
   44       1.752467759132e-10       1.057745715518e-14       1.876654170112e-13       7.542653657086e-17       6.867637356920e-11       7.518391161439e-12      -6.044575723976e-15 
   45       1.778281973958e-10       1.138690828892e-14       1.723058658477e-13       7.890036445228e-17       6.548398402976e-11       7.205113988186e-12      -6.178741549105e-15 
   46       1.804410792565e-10       1.223411750934e-14       1.554847823655e-13       8.245276548636e-17       6.248602695851e-11       6.912673443323e-12      -6.586446301738e-15 
   47       1.830848771626e-10       1.311953495644e-14       1.371357586098e-13       8.608388387122e-17       5.967899108861e-11       6.639815572453e-12      -7.160558906246e-15 
   48       1.857560648789e-10       1.404356087728e-14       1.171850028758e-13       8.979389338815e-17       5.705045472281e-11       6.384206144326e-12      -7.771121388424e-15 
   49       1.884478826810e-10       1.500654364613e-14       9.555081856181e-14       9.358299941843e-17       5.457842324699e-11       6.142353726594e-12      -8.264079051198e-15 
   50       1.911532600396e-10       1.600875613036e-14       7.215784222249e-14       9.745142261105e-17       5.223794915266e-11       5.910612806705e-12      -8.504405192295e-15 
   51       1.938751026164e-10       1.705032181888e-14       4.698552296486e-14       1.013993399809e-16       5.002464748023e-11       5.688692617553e-12      -8.522221159256e-15 
   52       1.966183626728e-10       1.813126521972e-14       2.003190140265e-14       1.054269313085e-16       4.793641822854e-11       5.476967774604e-12      -8.404143962471e-15 
   53       1.993870090611e-10       1.925152883396e-14      -8.699830130671e-15       1.095343972172e-16       4.596640953110e-11       5.275455994477e-12      -8.253158169450e-15 
   54       2.021839250146e-10       2.041097015681e-14      -3.920115417776e-14       1.137219603266e-16       4.410269787596e-11       5.083791996345e-12      -8.189435235444e-15 
   55       2.050110368999e-10       2.160942764945e-14      -7.146450452485e-14       1.179898245072e-16       4.233192324053e-11       4.901426322103e-12      -8.319521442939e-15 
   56       2.078699720818e-10       2.284694471663e-14      -1.055043184093e-13       1.223380381515e-16       4.065198457731e-11       4.728339424965e-12      -8.633061199678e-15 
   57       2.107613854576e-10       2.412359611712e-14      -1.413409104015e-13       1.267665989561e-16       3.906193803932e-11       4.564459262058e-12      -9.081852712644e-15 
   58       2.136846516311e-10       2.543942356290e-14      -1.789945570287e-13       1.312754923758e-16       3.755815629828e-11       4.409434959713e-12      -9.608827472733e-15 
   59       2.166377717013e-10       2.679443540740e-14      -2.184855746610e-13       1.358646911443e-16       3.613416285204e-11       4.262619477927e-12      -1.014763719351e-14 
   60       2.196172800512e-10       2.818860633386e-14      -2.598343973967e-13       1.405341547951e-16       3.478046633205e-11       4.123052274842e-12      -1.062224074998e-14 
   61       2.226196838456e-10       2.962177987128e-14      -3.030548343064e-13       1.452838053449e-16       3.348719428920e-11       3.989725126980e-12      -1.096409900551e-14 
   62       2.256463699702e-10       3.109335107843e-14      -3.481318963719e-13       1.501134490499e-16       3.225306022604e-11       3.862488531379e-12      -1.116920387763e-14 
   63       2.286996391152e-10       3.260251175756e-14      -3.950391081251e-13       1.550228361569e-16       3.107812444675e-11       3.741318918846e-12      -1.125317532981e-14 
   64       2.317812265603e-10       3.414833801391e-14      -4.437447533272e-13       1.600116819797e-16       2.996109684259e-11       3.626045265357e-12      -1.123492578837e-14 
   65       2.348922575950e-10       3.572978686076e-14      -4.942117364407e-13       1.650796656633e-16       2.889926002465e-11       3.516340740844e-12      -1.113680576624e-14 
   66       2.380332029390e-10       3.734569282449e-14      -5.463974441011e-13       1.702264289487e-16       2.788839245660e-11       3.411714357989e-12      -1.098474948667e-14 
   67       2.412038341629e-10       3.899476454969e-14      -6.002536065892e-13       1.754515749376e-16       2.692269158751e-11       3.311502621008e-12      -1.080842050697e-14 
   68       2.444037379458e-10       4.067572072234e-14      -6.557343760263e-13       1.807547252416e-16       2.599632239396e-11       3.215046927496e-12      -1.063505839823e-14 
   69       2.476340795009e-10       4.238773741011e-14      -7.128227713646e-13       1.861357076411e-16       2.510859919036e-11       3.122286182973e-12      -1.046924543238e-14 
   70       2.508961180232e-10       4.413008568269e-14      -7.715093676102e-13       1.915944044064e-16       2.425972052642e-11       3.033269814886e-12      -1.030928286101e-14 
   71       2.541906497235e-10       4.590200047878e-14      -8.317846235472e-13       1.971306975301e-16       2.344920201495e-11       2.947979108187e-12      -1.015311191363e-14 
   72       2.575179775410e-10       4.770268077438e-14      -8.936389533557e-13       2.027444689845e-16       2.267584103513e-11       2.866323604833e-12      -9.998298323119e-15 
   73       2.608778808562e-10       4.953128975090e-14      -9.570627982304e-13       2.084356009794e-16       2.193768143588e-11       2.788137503298e-12      -9.842016851116e-15 
   74       2.642695852041e-10       5.138695496340e-14      -1.022046697999e-12       2.142039762200e-16       2.123197823921e-11       2.713176058076e-12      -9.681035813456e-15 
   75       2.676917319868e-10       5.326876850877e-14      -1.088581362739e-12       2.200494781646e-16       2.055516234354e-11       2.641111979191e-12      -9.511701605598e-15 
   76       2.711429915932e-10       5.517571967240e-14      -1.156652093203e-12       2.259720647846e-16       1.990372580832e-11       2.571619538909e-12      -9.331286976468e-15 
   77       2.746240987856e-10       5.710647831687e-14      -1.226220709123e-12       2.319720048041e-16       1.927714210766e-11       2.504652557539e-12      -9.142353904098e-15 
   78       2.781361351745e-10       5.905957211520e-14      -1.297240440250e-12       2.380496852084e-16       1.867541674623e-11       2.440210803831e-12      -8.949161893545e-15 
   79       2.816799019226e-10       6.103344937144e-14      -1.369661241647e-12       2.442055432994e-16       1.809819776639e-11       2.378255012029e-12      -8.756387096648e-15 
   80       2.852559026510e-10       6.302647780427e-14      -1.443429749427e-12       2.504400684606e-16       1.754475932879e-11       2.318705079880e-12      -8.569134802210e-15 
   81       2.888643263456e-10       6.503694333060e-14      -1.518489236485e-12       2.567538039220e-16       1.701398529301e-11       2.261438266655e-12      -8.392951926196e-15 
   82       2.925050302643e-10       6.706304884920e-14      -1.594779568239e-12       2.631473485252e-16       1.650435279810e-11       2.206287391159e-12      -8.233839501916e-15 
   83       2.961775228427e-10       6.910291302433e-14      -1.672237158363e-12       2.696213584885e-16       1.601391584323e-11       2.153039029748e-12      -8.098265170216e-15 
   84       2.998812677271e-10       7.115464793205e-14      -1.750798806678e-12       2.761764887393e-16       1.554077780573e-11       2.101486389631e-12      -7.991463870253e-15 
   85       3.036166912265e-10       7.321660945373e-14      -1.830414040817e-12       2.828132018722e-16       1.508463496494e-11       2.051601947093e-12      -7.911988874405e-15 
   86       3.073843113111e-10       7.528718635532e-14      -1.911034748902e-12       2.895319306092e-16       1.464545994749e-11       2.003390258252e-12      -7.856276130522e-15 
   87       3.111844198119e-10       7.736472522271e-14      -1.992611499976e-12       2.963331361541e-16       1.422302745977e-11       1.956834958330e-12      -7.820259706016e-15 
   88       3.150170707238e-10       7.944753057074e-14      -2.075093564983e-12       3.032173089414e-16       1.381690608597e-11       1.911897878585e-12      -7.799355508318e-15 
   89       3.188820685096e-10       8.153386495229e-14      -2.158428937754e-12       3.101849693865e-16       1.342645008614e-11       1.868518163236e-12      -7.788445005323e-15 
   90       3.227789564037e-10       8.362194906727e-14      -2.242564355984e-12       3.172366686339e-16       1.305079119419e-11       1.826611386387e-12      -7.781858945844e-15 
   91       3.267070047150e-10       8.570996187166e-14      -2.327445322218e-12       3.243729893073e-16       1.268883041599e-11       1.786068668959e-12      -7.773361080064e-15 
   92       3.306651991314e-10       8.779604068654e-14      -2.413016124830e-12       3.315945462584e-16       1.233922982734e-11       1.746755795611e-12      -7.756131879983e-15 
   93       3.346525570671e-10       8.987830350119e-14      -2.499219369385e-12       3.389019034596e-16       1.200072974483e-11       1.708547111917e-12      -7.724283656930e-15 
   94       3.386691565394e-10       9.195491948242e-14      -2.585994446498e-12       3.462953087548e-16       1.167317262016e-11       1.671434965720e-12      -7.677701939324e-15 
   95       3.427152411297e-10       9.402404932078e-14      -2.673278871260e-12       3.537749204150e-16       1.135661869154e-11       1.635435169639e-12      -7.617905527309e-15 
   96       3.467908986297e-10       9.608382438955e-14      -2.761008766403e-12       3.613408870437e-16       1.105103064649e-11       1.600553287225e-12      -7.546584652861e-15 
   97       3.508960538485e-10       9.813234715846e-14      -2.849118876561e-12       3.689933471756e-16       1.075626988623e-11       1.566784227313e-12      -7.465605721478e-15 
   98       3.550304614188e-10       1.001676916073e-13      -2.937542582530e-12       3.767324288744e-16       1.047209279009e-11       1.534111838373e-12      -7.377016053864e-15 
