# Matter power spectrum P(k) at redshift z=0
# for k=1.04309e-05 to 1.16724 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043087111886e-05       4.795406246110e+01 
       2.328827449386e-05       1.042872701123e+02 
       3.619072871606e-05       1.597432649912e+02 
       4.917282183693e-05       2.148748125561e+02 
       6.226971192524e-05       2.700029856375e+02 
       7.551743942081e-05       3.253723515029e+02 
       8.895324944123e-05       3.811946102427e+02 
       1.026159283136e-04       4.376665569498e+02 
       1.165461586368e-04       4.949793579001e+02 
       1.307868972119e-04       5.533242276186e+02 
       1.453837801876e-04       6.128964228159e+02 
       1.603855597069e-04       6.738983945718e+02 
       1.758445761706e-04       7.365425120041e+02 
       1.918172698705e-04       8.010535778986e+02 
       2.083647351037e-04       8.676712604046e+02 
       2.255533188239e-04       9.366525107910e+02 
       2.434552642627e-04       1.008274002380e+03 
       2.621493975277e-04       1.082834599190e+03 
       2.817218517194e-04       1.160657837335e+03 
       3.022668182466e-04       1.242094376104e+03 
       3.238873084228e-04       1.327524343457e+03 
       3.466958996713e-04       1.417359462977e+03 
       3.708154293954e-04       1.512044802871e+03 
       3.963795855232e-04       1.612059932429e+03 
       4.235333259189e-04       1.717919208340e+03 
       4.524330397698e-04       1.830170844322e+03 
       4.832463440056e-04       1.949394351581e+03 
       5.161513892349e-04       2.076195881221e+03 
       5.513355365760e-04       2.211270631474e+03 
       5.889932648010e-04       2.355327263399e+03 
       6.293231836308e-04       2.508788184104e+03 
       6.725240716151e-04       2.671981471308e+03 
       7.187899322899e-04       2.846299336758e+03 
       7.683041722460e-04       3.031442394426e+03 
       8.212331433263e-04       3.228186766426e+03 
       8.777194411226e-04       3.436839294836e+03 
       9.378754844777e-04       3.657920027898e+03 
       1.001777979754e-03       3.891457275994e+03 
       1.069463865657e-03       4.136766016746e+03 
       1.140928221200e-03       4.395598711156e+03 
       1.216124409039e-03       4.664780525278e+03 
       1.294966455752e-03       4.940367992849e+03 
       1.377333396527e-03       5.226343851894e+03 
       1.463075092930e-03       5.521643905520e+03 
       1.552018910536e-03       5.824447212880e+03 
       1.643976630940e-03       6.134068640904e+03 
       1.738751054004e-03       6.450371184176e+03 
       1.836141886733e-03       6.772029748457e+03 
       1.935950675729e-03       7.097682669667e+03 
       2.037984688679e-03       7.427346245621e+03 
       2.142059767157e-03       7.755523866656e+03 
       2.248002251254e-03       8.085058908159e+03 
       2.355650118765e-03       8.415499661672e+03 
       2.464853495250e-03       8.745921955472e+03 
       2.575474685496e-03       9.077393048221e+03 
       2.687387859711e-03       9.406088560712e+03 
       2.800478505666e-03       9.735418089173e+03 
       2.914642735143e-03       1.006241812239e+04 
       3.029786512017e-03       1.038495143743e+04 
       3.145824851236e-03       1.070428137166e+04 
       3.262681023307e-03       1.102284369840e+04 
       3.380285787376e-03       1.133733719328e+04 
       3.498576667373e-03       1.164990659054e+04 
       3.617497279291e-03       1.195667507255e+04 
       3.736996713182e-03       1.226038734273e+04 
       3.857028970359e-03       1.256054582059e+04 
       3.977552454248e-03       1.285855461008e+04 
       4.098529512081e-03       1.314928977222e+04 
       4.219926023879e-03       1.343650529971e+04 
       4.341711034873e-03       1.371973471412e+04 
       4.463856427418e-03       1.400114861800e+04 
       4.586336628543e-03       1.427602443601e+04 
       4.709128349491e-03       1.454708814415e+04 
       4.832210353843e-03       1.481072550911e+04 
       4.955563251102e-03       1.506802761931e+04 
       5.079169312920e-03       1.532067415302e+04 
       5.203012309401e-03       1.556944302536e+04 
       5.327077363214e-03       1.581527911035e+04 
       5.451350819471e-03       1.605621362443e+04 
       5.575820129577e-03       1.629349218411e+04 
       5.700473747441e-03       1.652577162935e+04 
       5.825301036651e-03       1.675481158946e+04 
       5.950292187350e-03       1.697925758424e+04 
       6.075438141725e-03       1.720081132076e+04 
       6.200730527134e-03       1.741730636973e+04 
       6.326161596013e-03       1.763064826152e+04 
       6.451724171817e-03       1.783986088676e+04 
       6.577411600327e-03       1.804512601471e+04 
       6.703217705732e-03       1.824676185677e+04 
       6.829136750972e-03       1.844444690126e+04 
       6.955163401890e-03       1.863829813973e+04 
       7.081292694779e-03       1.882829862657e+04 
       7.207520006971e-03       1.901465174955e+04 
       7.333841030152e-03       1.919719823173e+04 
       7.460251746124e-03       1.937621064331e+04 
       7.586748404751e-03       1.955149635730e+04 
       7.713327503892e-03       1.972325968700e+04 
       7.839985771098e-03       1.989136732402e+04 
       7.966720146919e-03       2.005586310051e+04 
       8.093527769644e-03       2.021685023718e+04 
       8.220405961357e-03       2.037444024382e+04 
       8.347352215166e-03       2.052851315877e+04 
       8.474364183501e-03       2.067922647911e+04 
       8.601439667380e-03       2.082647789833e+04 
       8.728576606557e-03       2.097034950485e+04 
       8.855773070466e-03       2.111090527425e+04 
       8.983027249886e-03       2.124818740078e+04 
       9.110337449280e-03       2.138223717781e+04 
       9.237702079726e-03       2.151302618531e+04 
       9.365119652396e-03       2.165280692345e+04 
       9.492588772554e-03       2.179202839163e+04 
       9.620108133991e-03       2.191835109096e+04 
       9.747676513897e-03       2.203805595804e+04 
       9.875292768116e-03       2.215431513315e+04 
       1.000295582674e-02       2.226783036480e+04 
       1.013066469007e-02       2.237755026202e+04 
       1.025841842478e-02       2.248586150950e+04 
       1.038621616051e-02       2.259006908357e+04 
       1.051405708656e-02       2.269107438545e+04 
       1.064194044887e-02       2.278864077484e+04 
       1.076986554729e-02       2.288376295559e+04 
       1.089783173291e-02       2.297624595510e+04 
       1.102583840571e-02       2.306563710785e+04 
       1.115388501225e-02       2.315221011817e+04 
       1.128197104364e-02       2.323629849656e+04 
       1.141009603360e-02       2.331766552801e+04 
       1.153825955662e-02       2.339649016368e+04 
       1.166646122628e-02       2.347251149488e+04 
       1.179470069373e-02       2.354611010426e+04 
       1.192297764623e-02       2.361717327968e+04 
       1.205129180575e-02       2.368578270550e+04 
       1.217964292777e-02       2.375167106964e+04 
       1.230803080009e-02       2.381533586594e+04 
       1.243645524175e-02       2.387657693438e+04 
       1.256491610200e-02       2.393558244124e+04 
       1.269341325940e-02       2.399209304338e+04 
       1.282194662094e-02       2.404607160496e+04 
       1.295051612122e-02       2.409797196897e+04 
       1.307912172171e-02       2.414738876857e+04 
       1.320776341008e-02       2.419499201595e+04 
       1.333644119956e-02       2.424027909716e+04 
       1.346515512834e-02       2.428314791431e+04 
       1.359390525904e-02       2.432385618447e+04 
       1.372269167822e-02       2.436253256475e+04 
       1.385151449592e-02       2.439897414294e+04 
       1.398037384525e-02       2.443460445243e+04 
       1.410926988205e-02       2.447756179464e+04 
       1.423820278447e-02       2.451012781740e+04 
       1.436717275277e-02       2.454052507512e+04 
       1.449618000895e-02       2.456781958787e+04 
       1.462522479659e-02       2.459278469291e+04 
       1.475430738058e-02       2.461564827563e+04 
       1.488342804698e-02       2.463705462267e+04 
       1.501258710284e-02       2.465627552377e+04 
       1.514178487608e-02       2.467362567633e+04 
       1.527102171537e-02       2.468940607423e+04 
       1.540029799009e-02       2.470304391735e+04 
       1.552961409021e-02       2.471494889393e+04 
       1.565897042633e-02       2.472507286184e+04 
       1.578836742961e-02       2.473316379130e+04 
       1.591780555180e-02       2.473994796684e+04 
       1.604728526527e-02       2.474468948699e+04 
       1.617680706305e-02       2.474767808132e+04 
       1.630637145891e-02       2.474931605721e+04 
       1.643597898745e-02       2.474905655368e+04 
       1.656563020418e-02       2.474720734641e+04 
       1.669532568568e-02       2.474383336801e+04 
       1.682506602971e-02       2.473909109472e+04 
       1.695485185541e-02       2.473255389271e+04 
       1.708468380341e-02       2.472472459186e+04 
       1.721456253612e-02       2.471537788815e+04 
       1.734448873784e-02       2.470446713947e+04 
       1.747446311506e-02       2.469218803266e+04 
       1.760448639668e-02       2.467842844133e+04 
       1.773455933427e-02       2.466329036194e+04 
       1.786468270236e-02       2.464668912653e+04 
       1.799485729872e-02       2.462875942879e+04 
       1.812508394467e-02       2.460957021475e+04 
       1.825536348543e-02       2.458900450739e+04 
       1.838569679045e-02       2.456716120660e+04 
       1.851608475377e-02       2.454419276379e+04 
       1.864652829440e-02       2.452033342621e+04 
       1.877702835672e-02       2.449963433759e+04 
       1.890758591090e-02       2.447409685226e+04 
       1.903820195330e-02       2.444722203149e+04 
       1.916887750696e-02       2.441871445590e+04 
       1.929961362202e-02       2.438874219157e+04 
       1.943041137625e-02       2.435736028751e+04 
       1.956127187550e-02       2.432492211028e+04 
       1.969219625428e-02       2.429142422164e+04 
       1.982318567624e-02       2.425690664467e+04 
       1.995424133477e-02       2.422101190525e+04 
       2.008536445356e-02       2.418436036123e+04 
       2.021655628720e-02       2.414645682589e+04 
       2.034781812179e-02       2.410773209406e+04 
       2.047915127561e-02       2.406781901726e+04 
       2.061055709972e-02       2.402699821864e+04 
       2.074203697873e-02       2.398521224801e+04 
       2.087359233141e-02       2.394243017204e+04 
       2.100522461148e-02       2.389865873908e+04 
       2.113693530836e-02       2.385393265613e+04 
       2.126872594789e-02       2.380826466704e+04 
       2.140059809319e-02       2.376180358033e+04 
       2.153255334547e-02       2.371442410039e+04 
       2.166459334486e-02       2.366620402892e+04 
       2.179671977128e-02       2.361713240875e+04 
       2.192893434542e-02       2.356724644505e+04 
       2.206123882956e-02       2.351654750234e+04 
       2.219363502864e-02       2.346518710517e+04 
       2.232612479118e-02       2.341305744261e+04 
       2.245871001034e-02       2.335998818467e+04 
       2.259139262495e-02       2.330621243034e+04 
       2.272417462066e-02       2.325194530467e+04 
       2.285705803096e-02       2.319680383253e+04 
       2.299004493844e-02       2.314091297769e+04 
       2.312313747594e-02       2.308434272916e+04 
       2.325633782777e-02       2.302731602481e+04 
       2.338964823100e-02       2.297003922406e+04 
       2.352307097677e-02       2.291464453717e+04 
       2.365660841166e-02       2.285626788788e+04 
       2.379026293904e-02       2.279706981432e+04 
       2.392403702055e-02       2.273730787119e+04 
       2.405793317759e-02       2.267652140149e+04 
       2.419195399280e-02       2.261524624391e+04 
       2.432610211173e-02       2.255349477157e+04 
       2.446038024440e-02       2.249118078574e+04 
       2.459479116701e-02       2.242819461633e+04 
       2.472933772370e-02       2.236470504387e+04 
       2.486402282834e-02       2.230074306588e+04 
       2.499884946638e-02       2.223645589101e+04 
       2.513382069678e-02       2.217154890394e+04 
       2.526893965399e-02       2.210631613493e+04 
